"No\m, g",0,395,255.9
1,1.343,2.224,2.043
2,1.353,2.16,2.033
3,1.34,2.147,2.021
4,1.341,2.208,2.057
5,1.337,2.25,2.036
6,1.342,2.147,2.034
7,1.333,2.171,2.057
8,1.346,2.133,2.052
9,1.333,2.181,2.057
10,1.342,2.148,2.047
,,,
,,,
"delta H, cm",33.3,29.2,30.5
"r_inner, cm",,9.064,8.684
"r_outer, cm",,10.976,10.454
,,,
,,,
"r_stick, cm",0.59,,
