"L, m","t, s"
0.34,1.07666666666667
0.32,0.998
0.3,0.98
0.28,0.956333333333333
0.26,0.902666666666667
0.24,0.862666666666667
0.22,0.796333333333333
0.2,0.758
0.17,0.690333333333333
0.15,0.638666666666667
,
m=5.905g,
