"m, g","r, m","r, cm","t1, s","t2, s","t3, s","t4, s","t_average, s","a, ms^-2","I, kg.m^2","I_new, kg m ^-2","R, mm","d, mm"
213,0.25,25,5.641,5.667,5.7,5.725,5.68325,0.019195444277097,0.047456137604367,0.042876137604367,20.9,310
213,0.2,20,4.674,4.601,4.509,4.667,4.61275,0.029138812872015,0.031230390637526,0.026650390637526,,
213,0.15,15,4.071,4.209,4.254,4.162,4.174,0.035586624847408,0.025555011321326,0.020975011321326,,
213,0.1,10,2.803,2.676,2.81,2.847,2.784,0.079993228960233,0.011317020185936,0.006737020185936,,
213,0.08,8,2.651,2.402,2.466,2.475,2.4985,0.099319147221773,0.009096804780109,0.004516804780109,,
